rank,store_id,store_name,website,status,primary_category
65,city_erbil_ChIJeVPG5XsjB0ARX-0ZvQGpD5I,پڕۆمیدیا,http://www.promediastore.com/,failed,Cameras
66,city_sulaymaniyah_ChIJp77aedEtAEAR306YCeY8Oi0,پێــشانگای ئارام,http://playstation.com/,failed,Electronics
67,city_sulaymaniyah_ChIJmxhf2cAxAEARExstAV8s7uY,ڕێژوان فۆن,http://rezhwan.net/,failed,Phones
68,city_erbil_ChIJm6qMQbcfB0ARFxX323XiQFg,AL Mujahaz AL Daqiq Forch Iraq,http://www.nanosupplier-iq.com/,indexable,Chargers
69,city_erbil_ChIJS2hbOj4jB0ARB1uI9eFYk_I,ALPHA TECH IT SOLUTIONS,http://www.e-alphatech.com/,indexable,Networking
70,city_erbil_ChIJj9tT55IjB0AR0KdCaaPcE2s,Abubazzar (Abualu )( abualu.com ) BSMA Company,https://abualu.com/,indexable,Networking
71,city_sulaymaniyah_ChIJN4suh6kvAEARtryojaJ6YbY,Adnan Camera - عدنان كاميرا,https://www.adnancamera.com/,indexable,Cameras
72,city_baghdad_ChIJryIDXviBVxURzthgc434gOU,Al-Hekma Electronics,http://www.alhekmh.com/,indexable,Electronics
73,city_baghdad_ChIJHwxaA36DVxUR0FngIgf0QUE,AlMATAJIR ALTHALATH - شركة المتاجر الثلاثة,https://hialmatajir.com/,indexable,Chargers
74,city_baghdad_ChIJUdoUuMyBVxURYBSbB2reGL4,Ardunic - اردونك,http://www.ardunic.com/,indexable,Electronics
75,city_erbil_ChIJBU0asyQfB0ARaAkXrXQEF4Q,Arena Erbil,https://arena-website-ashy.vercel.app/,indexable,Gaming
76,city_sulaymaniyah_ChIJ2y8nSectAEARN9KgyfU8p1c,BERNAME Company for IT Solutions,http://www.bername.com/,indexable,Electronics
77,city_erbil_ChIJ3bwFdJIjB0AR8BFC6LOmPfQ,BLUE TECH,http://bluetech.krd/,indexable,Networking
78,city_erbil_ChIJsQft-64jB0ARN87_jYx8ab4,Barakat Mobile Co.,https://barakatphone.com/,indexable,Accessories
79,city_baghdad_ChIJUyQ-9iyBVxURmZtUo50JUpA,Bilad Alrafidayn Tech Baghdad,https://brt-iq.com/,indexable,Cameras
80,city_baghdad_ChIJ4cx4m8GDVxURBU30v7OwAJA,Charge and go اشحن وامشي,https://charge-go.co/,indexable,Chargers
81,city_erbil_ChIJ931_OHgjB0ARKEfBVhacFTI,Chrani Company - Erbil Branch,http://www.chranico.com/,indexable,Electronics
82,city_erbil_ChIJ4fb6dMQjB0ARJmSCZoTbEkk,City Tech Solutions,http://citytech-solutions.com/,indexable,Smart Devices
83,city_sulaymaniyah_ChIJM-Elqc8tAEARjJo0XU3laGQ,Click IT,https://www.click2011.com/,indexable,Electronics
84,city_sulaymaniyah_ChIJmTzHp90vAEAR2p4loEgTNe0,Dasy2,http://www.dasy2.com/,indexable,Phones
85,city_sulaymaniyah_ChIJr04nmfsvAEARBLlIX8jNsrw,Day of Science,http://www.dayofscience.com/,indexable,Smart Devices
