rank,store_id,store_name,website,status,area,primary_category,products
164,city_baghdad_ChIJ6QrBYgp-VxURqG6Gy86nzXE,شركة الغصن الدالي ( الدولي سابقا),http://dawlygroup.com/,indexable,,Cameras,0
165,city_baghdad_ChIJvx7_JrWDVxURYKoBgXo_r5M,شركة اياد لتجارة مستلزمات التصوير الاحترافي,https://ayad-company.com/,indexable,,Cameras,0
166,city_najaf_ChIJGZ7wKS7XXhURW5enabJ4V1M,شركة باقر للتكنولوجيا الحديثة,http://www.mf.com.iq/,indexable,,Tablets,0
167,city_karbala_ChIJk8M4rippWRURJY7Bl6qLsRw,شركة تِل بغداد Tel Baghdad,https://telbaghdad.com/,indexable,,Phones,0
168,city_karbala_ChIJL3UuEc5rWRURfFmlTZSqEao,شركة حاسبات العربي للتجارة العامة,http://www.alarabi.iq/,indexable,,Electronics,0
169,city_baghdad_ChIJc9uXJe2BVxUROqQTwrSXUOw,شركة دار الناشر للحاسبات,http://www.alnashir.net/,indexable,,Networking,0
170,city_erbil_ChIJT8_74r4jB0ARbqx6CCh596I,شركة دلتانت لخدمات الانترنت فايبر اوبتك,http://www.deltacomms.net/,indexable,,Networking,0
171,city_baghdad_ChIJ3cVn1rh_VxURwnUQMsxGb44,شركة سمارت كنترول,https://smartcontrols-iq.com/,indexable,,Smart Devices,0
172,city_basra_ChIJs-QRHnqXxD8RWmD0O5AC9mo,شركة عبر الشرق للالكترونيات,http://www.as-elect.com/,indexable,,Electronics,0
173,city_baghdad_ChIJMRoZLH6BVxURGqpPthbBEgA,شركة عين بغداد كاميرات مراقبة,http://www.einbaghdad.com/,indexable,,Cameras,0
174,city_sulaymaniyah_ChIJYRr6xIIuAEARw3TjFsA4M-Q,شركة فرياد,http://www.pfryad.weebly.com/,indexable,,Electronics,0
175,city_kirkuk_ChIJ4Rqdw4ApVRURr2xSY46nPYw,شركة محمد للالكترونيات,https://itechkurd.net/,indexable,,Electronics,0
176,city_karbala_ChIJ8xv5ZQBrWRURy9t727V-jwI,شركة ميامين العالم للتجارة العامة ((المستودع الرئيسي )),http://mayamen-world.com/,indexable,,Electronics,0
177,city_basra_ChIJkxfZBeiZxD8RGJ0-_SpjoYA,شركة نسيم البصرة للاجهزة المنزلية,http://naseemalbasraa.com/,indexable,,Electronics,0
178,city_sulaymaniyah_ChIJBecbpiAsAEARbMuJdUAd15A,فندق رمادا,https://www.ramadasulaymaniyah-salimstreet.com/,indexable,,PC Parts,0
179,city_karbala_ChIJNcrDYvJrWRURiyfnGfTlOlo,فيض حسيني - كربلاء,http://www.fayzehusayni.com/,indexable,,Networking,0
