reviewBucket,name,website,status,blockedReason,connector,products,offers,city,cityAr,area,lastSync,id
pending,الزبون للحاسبات والطابعات ALZABON computer&printers,https://maps.app.goo.gl/iMAAQb52fTZWLc1f8,probe_pending,,,0,0,Baghdad,بغداد,,,city_baghdad_ChIJG1mvHX6BVxURG0l6UueEaaE
pending,بوينت المنصور,https://pointmobs.com/,probe_pending,,,0,0,Baghdad,بغداد,,,city_baghdad_ChIJPwFwSXt_VxURimh9Pnu303A
pending,پڕۆمیدیا,http://www.promediastore.com/,probe_pending,,,0,0,Erbil,أربيل,,,city_erbil_ChIJeVPG5XsjB0ARX-0ZvQGpD5I
pending,تاوەری تەندروستی سمارت,https://smarthealth.group/,probe_pending,,,0,0,Sulaymaniyah,السليمانية,,,city_sulaymaniyah_ChIJHYyAUWwtAEAR-BTto5Srmdc
pending,جبال زون - كركوك,http://www.jibalzone.com/,probe_pending,,,0,0,Kirkuk,كركوك,,,city_kirkuk_ChIJzZIlgQjWVBURgseIPwLP3PY
pending,ڕێژوان فۆن,http://rezhwan.net/,probe_pending,,,0,0,Sulaymaniyah,السليمانية,,,city_sulaymaniyah_ChIJmxhf2cAxAEARExstAV8s7uY
pending,سدرة المنتهى للكومبيوتر,http://sidra-almuntaha.com/,probe_pending,,,0,0,Erbil,أربيل,,,city_erbil_ChIJGZZLqPgiB0ARH4oPKMEHHGQ
pending,سوبرفون,http://superphone.online/,probe_pending,,,0,0,Kirkuk,كركوك,,,city_kirkuk_ChIJHSNOPbPXVBURqj4oxiTev1s
pending,شركة الصرد للتجارة العامة المحدودة Al Sard Company for General Trading Ltd.,http://www.sardco.com/,probe_pending,,,0,0,Basra,البصرة,,,city_basra_ChIJQ1SE0v6ZxD8RKBF-2val0pA
pending,شركة الموقع لتقنية المعلومات المحدودة,http://www.esite.iq/,probe_pending,,,0,0,Baghdad,بغداد,,,city_baghdad_ChIJBWZkc6GBVxURWIHfbgYXW8I
pending,شركة جبال للموبايلات,http://jibalzone.com/,probe_pending,,,0,0,Basra,البصرة,,,city_basra_ChIJxaDbk1iXxD8Rpb4h5c3kfN0
pending,شركة حاسبات العربي للتجارة العامة,http://www.alarabi.iq/,probe_pending,,,0,0,Karbala,كربلاء,,,city_karbala_ChIJL3UuEc5rWRURfFmlTZSqEao
pending,شركة حوراء,http://www.hawra.com/,probe_pending,,,0,0,Erbil,أربيل,,,city_erbil_ChIJFQMps88jB0AR4QT_8Mx_9NQ
pending,شركة ردى,http://www.rada.com/,probe_pending,,,0,0,Kirkuk,كركوك,,,city_kirkuk_ChIJL9UlcQDXVBUR21bbwUE25HY
pending,شركة روح التكاتف للتجارة العامة,http://www.aswar.iq/,probe_pending,,,0,0,Baghdad,بغداد,,,city_baghdad_ChIJb5Mygv5_VxURXGKTe3c5lwE
pending,شركة زين للإتصالات,https://www.iq.zain.com/ar?utm_source=GMB&utm_medium=organic&utm_campaign=ROS_25,probe_pending,,,0,0,Najaf,النجف,,,city_najaf_ChIJZ4hTGD7XXhURbv6OS7dMICw
